hour,demand_kw,carbon_gco2_per_kwh,solar_kw,price_usd_per_kwh
2023-01-01 00:00:00,850,320,0,0.11
2023-01-01 01:00:00,820,310,0,0.10
2023-01-01 02:00:00,800,305,0,0.10
2023-01-01 03:00:00,790,300,0,0.09
2023-01-01 04:00:00,780,295,0,0.09
2023-01-01 05:00:00,800,300,0,0.10
2023-01-01 06:00:00,850,320,50,0.12
2023-01-01 07:00:00,900,350,150,0.14
2023-01-01 08:00:00,950,380,250,0.15
2023-01-01 09:00:00,1000,400,350,0.16
2023-01-01 10:00:00,1100,420,400,0.17
2023-01-01 11:00:00,1200,450,450,0.18
2023-01-01 12:00:00,1300,480,480,0.19
2023-01-01 13:00:00,1250,460,470,0.18
2023-01-01 14:00:00,1150,430,420,0.17
2023-01-01 15:00:00,1050,400,350,0.16
2023-01-01 16:00:00,1000,380,250,0.15
2023-01-01 17:00:00,950,360,150,0.14
2023-01-01 18:00:00,900,340,50,0.13
2023-01-01 19:00:00,850,330,0,0.12
2023-01-01 20:00:00,820,325,0,0.11
2023-01-01 21:00:00,800,320,0,0.11
2023-01-01 22:00:00,780,315,0,0.10
2023-01-01 23:00:00,760,310,0,0.10